B03002,Hispanic or Latino Origin by Race,,,,,,,,
zip,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino
11507,7225,3996,68,74,2405,0,19,157,506
11509,1920,1750,26,13,21,0,18,13,79
11510,33299,12775,10743,11,1316,37,35,846,7536
11514,4694,3023,134,0,453,0,237,61,786
11516,7372,6661,105,0,133,0,0,28,445
11518,9969,7932,402,0,572,0,0,10,1053
11520,43438,10668,12045,0,588,3,163,1178,18793
11530,28460,24226,496,0,1474,0,59,353,1852
11542,27893,15413,2166,66,1420,0,1089,575,7164
11545,12604,9919,252,0,1054,0,83,124,1172
11547,681,584,0,0,84,0,0,0,13
11548,2922,1618,189,0,767,0,9,77,262
11549,2803,1578,354,0,275,0,0,150,446
11550,57639,4029,24692,150,951,0,251,1107,26459
11552,24908,12472,5456,24,1523,0,47,525,4861
11553,26054,2520,10664,13,401,0,196,379,11881
11554,38029,23554,2324,150,4892,0,211,624,6274
11556,0,0,0,0,0,0,0,0,0
11557,7878,5648,601,0,659,0,25,36,909
11558,8465,5534,130,3,219,0,28,53,2498
11559,8192,6989,103,0,201,0,0,0,899
11560,6669,5782,132,0,150,0,145,37,423
11561,37726,28335,2406,73,1254,0,187,531,4940
11563,21919,15271,649,0,677,0,172,300,4850
11565,8560,6673,455,7,390,0,42,330,663
11566,33331,28057,1102,36,1251,0,23,387,2475
11568,4548,2765,384,3,817,0,22,209,348
11569,1117,1083,0,0,0,0,0,0,34
11570,27234,20166,2673,0,734,0,22,310,3329
11572,29243,23714,295,200,779,0,18,113,4124
11575,17180,320,9866,2,152,0,47,148,6645
11576,12374,9032,131,0,2167,0,351,160,533
11577,12513,8631,360,0,2095,0,16,129,1282
11579,5214,4508,61,0,78,0,0,82,485
11580,42990,9480,13864,20,6190,16,641,1742,11037
11581,21794,9823,4336,1,2936,10,312,765,3611
11590,47245,17476,10128,16,4194,0,741,596,14094
11596,10347,7479,155,14,1684,0,19,204,792
11598,14066,12346,647,0,319,0,0,10,744
11691,68543,15747,30748,0,2166,38,261,1127,18456
11692,22074,2523,12536,41,1167,0,371,296,5140
11693,12944,5772,2376,0,571,0,231,182,3812
11694,21202,15594,1227,158,620,0,185,201,3217
11697,3674,3346,23,0,24,0,32,0,249
11701,28363,9378,10165,133,191,0,113,330,8053
11702,14127,12672,90,1,231,0,27,218,888
11703,16119,10761,1059,28,683,0,32,444,3112
11704,39981,24678,5336,90,1448,0,111,573,7745
11705,7721,6688,175,40,99,0,0,101,618
11706,68401,24038,9774,198,2014,11,863,1168,30335
11709,6735,6224,18,19,85,0,10,131,248
11710,34634,28298,632,0,1645,0,176,377,3506
11713,9295,4496,1896,0,272,0,0,137,2494
11714,22741,17707,122,132,2075,0,23,186,2496
11715,4583,4103,7,0,19,0,0,30,424
11716,9781,8363,238,0,167,0,0,26,987
11717,63492,9733,7721,0,1215,100,472,400,43851
11718,3075,2694,57,0,9,0,59,40,216
11719,3447,2678,252,13,8,5,0,72,419
11720,28454,20787,1071,0,1542,0,154,449,4451
11721,6288,5694,11,0,312,0,0,50,221
11722,31878,7383,7589,43,1141,0,154,569,14999
11724,3175,2537,9,0,352,0,13,96,168
11725,29396,25270,463,0,1396,0,29,376,1862
11726,19481,7185,2770,113,506,0,188,432,8287
11727,29736,17585,4196,0,1557,48,86,539,5725
11729,27252,15265,3424,10,2800,0,64,669,5020
11730,13663,11832,285,0,146,0,30,26,1344
11731,30436,26142,388,0,1408,0,9,374,2115
11732,3751,3199,137,0,73,0,2,151,189
11733,16363,13064,230,7,1689,0,71,211,1091
11735,33893,24719,1390,12,2798,0,69,551,4354
11738,17972,13553,473,0,861,0,6,295,2784
11739,916,831,0,0,0,0,0,3,82
11740,9693,8109,266,0,548,0,0,263,507
11741,26651,21239,891,157,886,35,42,289,3112
11742,12438,9090,631,0,685,0,0,112,1920
11743,41878,33763,2382,30,1285,0,282,827,3309
11746,67863,40877,4138,0,6341,15,1153,977,14362
11747,18288,15313,472,0,1130,16,25,352,980
11749,3341,1589,292,9,358,0,3,78,1012
11751,14314,11703,478,0,162,0,63,192,1716
11752,9656,7614,179,1,312,0,0,121,1429
11753,12857,7943,94,0,4036,0,139,334,311
11754,17946,15786,183,0,704,0,19,197,1057
11755,12598,10276,201,0,675,0,155,161,1130
11756,43446,31325,502,0,3245,0,227,886,7261
11757,44368,32408,1877,77,887,0,10,779,8330
11758,52783,45946,2248,51,825,16,104,248,3345
11762,22358,19825,35,0,457,0,0,282,1759
11763,28579,18621,3247,0,348,0,18,271,6074
11764,12981,11466,65,0,126,0,0,124,1200
11765,782,574,0,0,95,0,11,0,102
11766,11720,9984,92,0,295,0,0,30,1319
11767,14952,12540,259,0,471,0,0,67,1615
11768,21113,19371,236,4,180,0,0,73,1249
11769,8340,7625,140,16,43,0,11,80,425
11770,56,56,0,0,0,0,0,0,0
11771,9150,7350,156,0,401,0,5,82,1156
11772,45991,30939,1655,90,1164,0,92,293,11758
11776,24950,17561,668,0,743,0,73,191,5714
11777,9007,7409,174,0,692,0,0,172,560
11778,12081,10354,123,0,86,0,442,95,981
11779,37837,27552,1354,120,2351,59,220,856,5325
11780,16099,13722,249,0,746,0,5,211,1166
11782,14965,13663,128,0,359,0,0,257,558
11783,21280,19068,74,9,432,0,10,250,1437
11784,25337,18024,1352,16,1489,0,287,554,3615
11786,6359,5214,232,0,279,0,0,126,508
11787,34376,31068,211,6,1255,0,29,325,1482
11788,16583,12527,747,14,1227,0,43,114,1911
11789,8301,7324,30,231,117,0,0,15,584
11790,17304,11376,747,6,3518,10,24,380,1243
11791,26135,16913,195,20,7511,0,105,355,1036
11792,7853,7212,109,0,17,0,6,23,486
11793,30643,26827,103,6,621,0,85,351,2650
11794,3024,901,278,0,1371,0,13,226,235
11795,24775,22496,127,3,405,0,4,133,1607
11796,4160,3730,36,0,84,0,18,42,250
11797,8962,7014,201,0,1424,0,0,35,288
11798,14864,913,8940,84,205,0,215,510,3997
11801,40288,21776,673,14,11057,8,105,918,5737
11803,28520,22255,181,16,4384,0,146,289,1249
11804,4671,3955,16,0,430,0,0,64,206
11901,28387,14545,4757,25,460,0,101,298,8201
11930,882,742,0,0,0,0,0,19,121
11931,39,39,0,0,0,0,0,0,0
11932,1120,634,250,0,27,0,0,14,195
11933,7342,5677,436,0,221,0,0,183,825
11934,7584,6049,274,0,77,0,13,78,1093
11935,3160,3066,20,0,0,0,2,0,72
11937,16137,10613,459,0,450,0,6,79,4530
11939,999,921,16,0,0,0,0,27,35
11940,5532,5010,101,0,105,0,8,132,176
11941,1797,1573,0,0,0,0,0,0,224
11942,5174,4451,22,0,122,0,6,10,563
11944,4287,2969,381,0,26,0,13,67,831
11946,15453,9759,170,0,30,7,0,169,5318
11947,486,486,0,0,0,0,0,0,0
11948,710,519,0,0,0,0,0,0,191
11949,13760,11304,616,0,172,0,38,219,1411
11950,16444,10130,1343,498,113,0,90,276,3994
11951,13015,9489,535,57,184,0,16,343,2391
11952,5010,4768,13,0,0,0,0,4,225
11953,13645,8824,2321,6,261,0,37,180,2016
11954,3685,3201,7,10,10,0,9,61,387
11955,3748,3013,70,24,212,0,0,135,294
11956,250,238,12,0,0,0,0,0,0
11957,835,774,5,12,4,0,0,17,23
11958,768,633,0,0,0,0,0,0,135
11959,545,476,19,0,21,0,0,8,21
11960,706,697,0,0,0,0,0,0,9
11961,12902,10221,874,68,462,0,71,89,1117
11962,324,315,0,0,0,0,0,0,9
11963,7161,5562,379,0,192,0,35,84,909
11964,2413,2025,0,0,76,0,158,0,154
11965,380,364,0,0,16,0,0,0,0
11967,27854,18728,1967,44,1090,0,24,229,5772
11968,10517,8428,273,5,570,0,0,139,1102
11970,212,181,0,0,31,0,0,0,0
11971,6026,5226,12,0,154,0,0,0,634
11972,1096,780,95,0,0,0,0,0,221
11973,40,9,17,0,2,0,0,0,12
11975,272,219,23,0,7,0,0,3,20
11976,1679,1316,3,13,54,0,0,60,233
11977,2176,1982,34,0,39,0,0,0,121
11978,3086,2252,159,37,48,0,3,62,525
11980,5865,4272,376,23,80,0,0,42,1072
12007,9,9,0,0,0,0,0,0,0
12008,668,548,0,3,52,0,0,0,65
12009,7900,7117,189,11,257,0,0,139,187
12010,28152,20700,848,21,161,0,96,347,5979
12015,3026,2645,106,2,112,0,0,15,146
12017,403,381,0,0,8,0,0,0,14
12018,7226,6974,27,0,13,0,0,16,196
12019,14456,13050,205,0,661,27,0,287,226
12020,33563,30102,373,30,849,0,0,533,1676
12022,612,610,0,0,0,0,0,2,0
12023,2187,2076,12,0,15,0,0,17,67
12024,0,0,0,0,0,0,0,0,0
12025,5388,5092,42,70,62,0,0,13,109
12027,3887,3702,26,0,55,0,0,35,69
12028,849,817,0,0,9,0,0,23,0
12029,1156,1044,27,2,0,0,2,0,81
12031,195,181,0,0,0,0,0,0,14
12032,858,743,0,0,97,0,0,18,0
12033,7906,7336,40,0,102,0,69,43,316
12035,722,715,0,0,0,0,0,7,0
12036,295,287,0,0,5,0,0,0,3
12037,4257,3835,241,0,33,0,0,54,94
12040,137,137,0,0,0,0,0,0,0
12041,571,533,0,0,0,0,0,27,11
12042,225,225,0,0,0,0,0,0,0
12043,8129,7355,221,30,37,0,0,142,344
12045,506,477,5,0,0,0,0,0,24
12046,1102,1086,0,0,0,0,0,0,16
12047,21355,17139,1131,80,671,16,0,1220,1098
12051,6383,4171,1291,0,47,0,7,9,858
12052,1611,1580,0,0,0,0,0,31,0
12053,4527,4235,32,0,15,0,0,44,201
12054,16940,15396,378,0,581,0,57,124,404
12056,2847,2604,4,0,0,0,0,0,239
12057,1942,1883,0,10,26,0,0,0,23
12058,1394,1238,37,0,23,0,0,11,85
